Pclass,Sex,Age,Fare,Embarked,Survived
3.0,female,2.0,31.275,C,0.0
2.0,male,21.0,73.5,S,0.0
3.0,male,19.0,8.05,S,0.0
2.0,male,32.5,30.0708,S,0.0
2.0,female,32.5,13.0,C,1.0
1.0,male,54.0,77.2875,S,0.0
3.0,male,12.0,11.2417,S,1.0
3.0,male,19.0,7.75,C,0.0
3.0,male,24.0,7.1417,Q,1.0
3.0,female,2.0,22.3583,S,1.0
3.0,male,45.0,6.975,C,0.0
3.0,male,33.0,7.8958,S,0.0
3.0,male,20.0,7.05,C,0.0
3.0,female,47.0,14.5,S,0.0
2.0,female,29.0,26.0,S,1.0
2.0,male,25.0,13.0,S,0.0
2.0,male,23.0,15.0458,S,0.0
1.0,female,19.0,26.2833,C,1.0
1.0,male,37.0,53.1,S,0.0
3.0,male,16.0,9.2167,S,0.0
1.0,male,24.0,79.2,S,0.0
3.0,female,40.0,15.2458,C,0.0
3.0,female,22.0,7.75,C,1.0
3.0,female,24.0,15.85,S,1.0
3.0,male,19.0,6.75,S,0.0
2.0,male,18.0,11.5,Q,0.0
2.0,male,19.0,36.75,S,0.0
3.0,male,27.0,7.7958,S,1.0
3.0,female,9.0,34.375,S,0.0
2.0,male,36.5,26.0,S,0.0
2.0,male,42.0,13.0,S,0.0
2.0,male,51.0,12.525,S,0.0
1.0,female,22.0,66.6,S,1.0
3.0,male,55.5,8.05,S,0.0
3.0,male,40.5,14.5,S,0.0
3.0,male,27.0,7.3125,S,0.0
1.0,male,51.0,61.3792,S,0.0
3.0,female,16.0,7.7333,C,1.0
3.0,male,30.0,8.05,Q,0.0
3.0,male,37.0,8.6625,S,0.0
3.0,male,5.0,69.55,S,0.0
3.0,male,44.0,16.1,S,0.0
2.0,female,40.0,15.75,S,1.0
3.0,male,26.0,7.775,S,0.0
3.0,male,17.0,8.6625,S,0.0
3.0,male,2.0,39.6875,S,0.0
3.0,male,9.0,20.525,S,1.0
1.0,female,48.0,55.0,S,1.0
3.0,female,45.0,27.9,S,0.0
1.0,male,60.0,25.925,S,0.0
3.0,male,28.0,56.4958,S,0.0
1.0,male,61.0,33.5,S,0.0
3.0,male,4.0,29.125,S,0.0
3.0,female,2.0,11.1333,Q,1.0
3.0,male,21.0,7.925,S,0.0
1.0,male,56.0,30.6958,S,0.0
3.0,male,18.0,7.8542,C,0.0
3.0,male,5.0,25.4667,S,0.0
1.0,female,50.0,28.7125,S,0.0
2.0,male,30.0,13.0,C,0.0
3.0,male,36.0,6.75,S,0.0
3.0,female,8.0,69.55,S,0.0
2.0,male,39.0,15.05,S,0.0
3.0,male,9.0,31.3875,C,0.0
2.0,male,2.0,39.0,S,1.0
3.0,female,4.0,22.025,S,1.0
1.0,male,39.0,50.0,S,0.0
3.0,female,26.0,15.5,S,1.0
1.0,male,45.0,26.55,Q,1.0
3.0,male,40.0,15.5,S,0.0
3.0,male,36.0,7.8958,Q,0.0
2.0,female,32.0,13.0,S,1.0
2.0,male,19.0,13.0,S,0.0
3.0,female,19.0,7.8542,S,1.0
2.0,male,3.0,26.0,S,1.0
1.0,female,44.0,27.7208,S,1.0
1.0,female,58.0,146.5208,C,1.0
3.0,male,28.0,7.75,C,0.0
3.0,male,42.0,8.4042,Q,0.0
3.0,female,21.0,7.75,S,1.0
2.0,female,24.0,13.0,Q,0.0
3.0,male,28.0,9.5,S,0.0
3.0,male,17.0,69.55,S,0.0
3.0,male,34.0,6.75,S,0.0
3.0,male,45.5,7.225,S,0.0
3.0,male,18.0,8.05,C,1.0
3.0,female,2.0,10.4625,S,0.0
3.0,male,32.0,15.85,S,0.0
3.0,male,26.0,18.7875,S,1.0
3.0,female,16.0,7.75,C,1.0
1.0,male,40.0,31.0,Q,1.0
3.0,male,24.0,7.05,C,0.0
2.0,female,35.0,21.0,S,1.0
3.0,male,22.0,7.25,S,0.0
2.0,male,30.0,13.0,S,0.0
3.0,male,22.0,7.75,S,0.0
1.0,female,31.0,113.275,Q,1.0
3.0,female,27.0,7.925,C,1.0
2.0,male,42.0,27.0,S,0.0
1.0,female,32.0,76.2917,S,1.0
2.0,male,30.0,10.5,C,0.0
3.0,male,16.0,8.05,S,1.0
2.0,male,27.0,13.0,S,0.0
3.0,male,51.0,8.05,S,0.0
3.0,male,22.0,7.8958,S,0.0
1.0,male,38.0,90.0,S,1.0
3.0,male,22.0,9.35,S,0.0
2.0,male,19.0,10.5,S,1.0
3.0,male,20.5,7.25,S,0.0
2.0,male,18.0,13.0,S,0.0
3.0,female,12.0,25.4667,S,0.0
1.0,female,35.0,83.475,S,1.0
3.0,male,29.0,7.775,S,0.0
2.0,male,59.0,13.5,S,0.0
3.0,female,5.0,31.3875,S,1.0
2.0,male,24.0,10.5,S,0.0
3.0,female,21.0,7.55,S,0.0
2.0,male,44.0,26.0,S,0.0
2.0,female,8.0,26.25,S,1.0
2.0,male,19.0,10.5,S,0.0
2.0,male,33.0,12.275,S,0.0
3.0,female,19.0,14.4542,S,0.0
3.0,female,18.0,15.5,C,1.0
2.0,male,29.0,10.5,Q,0.0
3.0,male,22.0,7.125,S,0.0
3.0,male,30.0,7.225,S,0.0
1.0,male,44.0,90.0,C,0.0
3.0,female,25.0,7.775,Q,0.0
2.0,female,24.0,14.5,S,1.0
1.0,male,37.0,52.5542,S,1.0
2.0,male,54.0,26.0,S,0.0
3.0,male,18.0,7.25,S,0.0
3.0,female,29.0,10.4625,S,0.0
1.0,male,62.0,26.55,S,0.0
3.0,male,30.0,16.1,S,0.0
3.0,female,41.0,20.2125,S,0.0
3.0,female,29.0,15.2458,S,1.0
1.0,female,38.0,79.2,C,1.0
1.0,female,30.0,86.5,C,1.0
1.0,female,35.0,153.4625,S,1.0
2.0,female,50.0,26.0,C,1.0
3.0,male,3.0,31.3875,S,1.0
1.0,male,52.0,79.65,Q,0.0
1.0,male,40.0,6.75,S,0.0
3.0,female,21.0,7.75,S,0.0
2.0,male,36.0,10.5,S,0.0
3.0,male,16.0,39.6875,Q,0.0
3.0,male,25.0,7.775,S,1.0
1.0,female,58.0,153.4625,S,1.0
1.0,female,35.0,135.6333,S,1.0
1.0,male,28.0,31.0,S,0.0
3.0,male,25.0,6.75,S,1.0
2.0,female,41.0,19.5,S,1.0
1.0,male,37.0,29.7,S,0.0
3.0,female,33.0,7.75,S,1.0
1.0,female,62.0,77.9583,C,1.0
3.0,female,45.0,7.75,Q,0.0
2.0,male,21.0,6.75,S,0.0
3.0,male,7.0,29.125,S,0.0
3.0,female,35.0,20.25,S,1.0
3.0,male,62.0,7.75,Q,0.0
3.0,male,28.0,7.8542,S,0.0
3.0,male,16.0,9.5,Q,0.0
3.0,male,19.0,8.05,S,1.0
1.0,male,57.0,26.0,S,0.0
3.0,male,33.0,8.6625,S,0.0
3.0,male,30.0,9.5,S,1.0
3.0,male,22.0,7.8958,C,0.0
2.0,male,42.0,13.0,S,1.0
3.0,female,22.0,7.75,S,1.0
1.0,female,26.0,78.85,S,1.0
1.0,female,19.0,91.0792,Q,1.0
2.0,male,36.0,12.875,S,0.0
3.0,female,24.0,8.85,C,0.0
3.0,male,24.0,7.8958,C,0.0
1.0,male,30.0,27.7208,S,0.0
3.0,male,23.5,7.2292,S,0.0
1.0,female,2.0,151.55,C,0.0
1.0,male,47.0,30.5,C,1.0
1.0,female,50.0,153.4625,S,1.0
3.0,female,20.0,7.75,S,1.0
3.0,male,24.0,23.25,C,1.0
3.0,male,19.0,6.75,Q,0.0
2.0,female,46.0,12.35,Q,1.0
3.0,male,28.0,8.05,S,0.0
1.0,male,2.0,151.55,Q,1.0
1.0,female,42.0,110.8833,S,1.0
1.0,female,17.0,108.9,S,1.0
2.0,male,30.0,24.0,C,0.0
1.0,female,30.0,56.9292,C,1.0
1.0,female,24.0,83.1583,C,1.0
1.0,female,18.0,153.4625,C,1.0
2.0,female,26.0,26.0,C,0.0
3.0,male,28.0,7.8958,C,0.0
2.0,male,43.0,26.25,S,0.0
3.0,female,26.0,7.8542,S,1.0
2.0,female,24.0,26.0,S,1.0
2.0,male,54.0,14.0,S,0.0
1.0,female,31.0,153.4625,S,1.0
1.0,female,40.0,134.5,S,1.0
3.0,male,22.0,7.25,S,0.0
3.0,male,27.0,7.8958,C,0.0
2.0,female,30.0,12.35,S,1.0
2.0,female,22.0,29.0,S,1.0
3.0,male,20.0,69.55,Q,0.0
1.0,female,36.0,135.6333,S,1.0
3.0,male,61.0,6.75,S,0.0
2.0,female,36.0,13.0,C,1.0
3.0,female,31.0,20.525,S,1.0
1.0,female,16.0,57.9792,S,1.0
3.0,female,28.0,23.25,S,1.0
1.0,male,45.5,28.5,C,0.0
1.0,male,38.0,153.4625,Q,0.0
3.0,male,16.0,18.0,S,0.0
1.0,female,42.0,133.65,S,1.0
3.0,male,30.0,7.8958,S,0.0
1.0,male,29.0,66.6,S,0.0
1.0,female,41.0,134.5,S,1.0
3.0,male,45.0,8.05,S,1.0
1.0,male,45.0,35.5,C,0.0
2.0,male,2.0,26.0,S,1.0
1.0,female,24.0,153.4625,S,1.0
2.0,male,28.0,13.0,S,0.0
2.0,male,25.0,13.0,S,0.0
2.0,male,36.0,13.0,S,0.0
2.0,female,24.0,13.0,S,1.0
2.0,female,40.0,13.0,S,1.0
3.0,female,34.0,16.1,S,1.0
3.0,male,3.0,15.9,S,1.0
3.0,male,42.0,8.6625,S,0.0
3.0,male,23.0,9.225,S,0.0
1.0,male,43.0,35.0,S,0.0
3.0,male,15.0,7.2292,S,0.0
3.0,male,25.0,17.8,S,0.0
3.0,male,23.0,7.225,C,0.0
3.0,male,28.0,9.5,S,0.0
1.0,female,22.0,55.0,C,1.0
2.0,female,38.0,13.0,S,0.0
3.0,female,22.0,7.8792,S,1.0
3.0,female,23.0,7.8792,S,1.0
3.0,male,40.0,27.9,Q,0.0
2.0,male,29.0,27.7208,Q,0.0
3.0,female,45.0,14.4542,S,0.0
3.0,male,35.0,7.05,C,0.0
3.0,male,27.0,15.5,C,0.0
3.0,male,30.0,7.25,S,0.0
1.0,female,60.0,75.25,Q,1.0
3.0,female,35.0,7.2292,S,1.0
3.0,female,22.0,7.75,C,1.0
1.0,female,24.0,69.3,C,1.0
1.0,male,25.0,55.4417,Q,1.0
3.0,male,18.0,6.75,C,0.0
3.0,male,19.0,8.05,C,0.0
1.0,male,22.0,135.6333,S,0.0
3.0,female,3.0,21.075,S,0.0
1.0,female,25.0,82.1708,C,1.0
3.0,female,22.0,7.25,S,1.0
1.0,male,27.0,153.4625,C,0.0
3.0,male,20.0,6.75,S,0.0
3.0,male,19.0,7.775,C,0.0
1.0,female,42.0,153.4625,C,1.0
3.0,female,2.0,15.7417,S,1.0
3.0,male,32.0,7.925,C,0.0
1.0,female,35.0,52.0,C,1.0
3.0,male,27.0,7.8958,S,0.0
2.0,male,18.0,73.5,S,0.0
3.0,male,2.0,46.9,S,0.0
2.0,female,36.0,13.0,S,1.0
3.0,male,19.0,7.7292,S,0.0
2.0,female,17.0,12.0,S,1.0
1.0,male,36.0,120.0,Q,1.0
3.0,male,21.0,7.7958,C,1.0
3.0,male,28.0,7.925,S,0.0
1.0,female,23.0,113.275,S,1.0
3.0,female,24.0,16.7,S,1.0
3.0,male,22.0,7.7958,C,0.0
3.0,female,31.0,7.8542,S,0.0
2.0,male,46.0,26.0,S,0.0
2.0,male,23.0,10.5,S,0.0
2.0,female,28.0,12.65,S,1.0
3.0,male,39.0,7.925,S,1.0
3.0,male,26.0,8.05,S,0.0
3.0,female,21.0,9.825,S,0.0
3.0,male,28.0,15.85,S,0.0
3.0,female,20.0,8.6625,S,0.0
2.0,male,34.0,21.0,S,0.0
3.0,male,51.0,7.75,S,0.0
2.0,male,3.0,18.75,S,1.0
3.0,male,21.0,7.775,S,0.0
3.0,female,3.0,25.4667,S,0.0
3.0,male,42.0,7.8958,S,0.0
3.0,male,27.0,6.8583,S,0.0
1.0,female,33.0,90.0,S,1.0
2.0,male,22.0,6.75,Q,0.0
3.0,male,44.0,7.925,Q,1.0
3.0,female,32.0,8.05,S,0.0
2.0,female,34.0,32.5,S,1.0
2.0,female,18.0,13.0,S,1.0
2.0,male,30.0,13.0,S,0.0
3.0,female,10.0,24.15,S,0.0
3.0,male,21.0,7.7333,S,0.0
3.0,male,29.0,7.875,S,0.0
3.0,female,28.0,14.4,C,0.0
3.0,male,18.0,20.2125,Q,0.0
3.0,male,54.0,7.25,S,0.0
2.0,female,28.0,26.0,S,1.0
2.0,female,19.0,26.0,S,1.0
3.0,male,28.0,7.75,S,0.0
3.0,male,32.0,8.05,S,1.0
1.0,male,28.0,26.55,S,1.0
3.0,female,33.0,16.1,Q,1.0
2.0,female,42.0,26.0,S,1.0
3.0,male,17.0,7.125,S,0.0
1.0,male,50.0,55.9,S,0.0
1.0,female,14.0,120.0,S,1.0
3.0,female,21.0,34.375,S,0.0
2.0,female,24.0,18.75,S,1.0
1.0,male,62.0,153.4625,S,0.0
2.0,male,31.0,10.5,S,0.0
2.0,female,45.0,26.25,S,1.0
3.0,male,20.0,9.5,S,0.0
3.0,male,25.0,7.775,S,0.0
2.0,female,28.0,13.0,S,1.0
3.0,male,29.0,8.1125,S,1.0
1.0,male,4.0,81.8583,S,1.0
2.0,female,13.0,19.5,S,1.0
1.0,male,34.0,26.55,S,1.0
3.0,female,5.0,19.2583,S,1.0
1.0,male,52.0,30.5,S,1.0
2.0,male,36.0,27.75,S,0.0
3.0,male,28.0,19.9667,C,0.0
1.0,male,30.0,27.75,S,0.0
1.0,male,49.0,89.1042,S,1.0
3.0,male,24.0,8.05,S,0.0
3.0,male,29.0,7.8958,C,1.0
1.0,male,62.0,26.55,C,0.0
1.0,female,41.0,51.8625,S,1.0
2.0,female,50.0,10.5,C,1.0
3.0,male,17.0,7.75,S,0.0
1.0,male,48.0,26.55,S,1.0
3.0,male,34.0,8.05,S,0.0
1.0,male,47.0,38.5,Q,0.0
2.0,male,48.0,13.0,S,0.0
3.0,male,34.0,8.05,S,0.0
3.0,male,38.0,7.05,S,0.0
2.0,male,21.0,6.75,S,0.0
1.0,male,56.0,26.55,S,0.0
3.0,male,22.0,7.725,S,0.0
3.0,female,2.0,19.2583,S,1.0
3.0,male,39.0,7.25,S,0.0
3.0,male,38.0,8.6625,Q,0.0
2.0,female,33.0,27.75,C,1.0
2.0,female,23.0,13.7917,S,1.0
3.0,female,22.0,9.8375,S,0.0
1.0,male,40.0,52.0,S,0.0
2.0,male,34.0,21.0,C,0.0
3.0,male,29.0,7.0458,S,0.0
3.0,male,22.0,7.5208,S,0.0
3.0,female,2.0,12.2875,S,1.0
3.0,male,9.0,46.9,S,0.0
2.0,male,37.0,6.75,S,0.0
3.0,male,50.0,8.05,S,0.0
3.0,female,62.0,9.5875,S,1.0
1.0,male,25.0,91.0792,S,1.0
3.0,female,8.0,25.4667,S,0.0
1.0,female,35.0,90.0,S,1.0
1.0,male,58.0,29.7,C,0.0
3.0,male,30.0,8.05,S,0.0
3.0,male,9.0,15.9,S,1.0
3.0,male,19.0,19.9667,C,0.0
3.0,male,21.0,7.25,S,0.0
1.0,male,55.0,30.5,S,0.0
1.0,male,62.0,49.5042,S,0.0
3.0,male,21.0,8.05,S,0.0
3.0,male,26.0,14.4583,S,0.0
1.0,female,54.0,78.2667,C,1.0
3.0,male,55.0,15.1,S,0.0
1.0,female,25.0,151.55,C,0.0
3.0,male,24.0,7.7958,C,0.0
3.0,male,17.0,8.6625,S,0.0
3.0,female,21.0,7.75,S,0.0
3.0,female,21.0,7.6292,S,0.0
3.0,female,37.0,9.5875,S,0.0
1.0,female,16.0,86.5,Q,1.0
1.0,male,18.0,108.9,Q,0.0
2.0,female,33.0,26.0,S,1.0
1.0,male,37.0,26.55,S,1.0
3.0,male,28.0,22.525,C,0.0
3.0,male,26.0,56.4958,S,1.0
3.0,male,29.0,7.75,S,1.0
3.0,male,62.0,8.05,S,0.0
1.0,male,36.0,26.2875,S,1.0
1.0,female,54.0,59.4,Q,1.0
3.0,male,24.0,7.4958,S,0.0
1.0,male,47.0,34.0208,S,0.0
2.0,female,34.0,10.5,C,1.0
3.0,male,30.0,24.15,S,0.0
2.0,female,36.0,26.0,S,1.0
3.0,male,32.0,7.8958,S,0.0
1.0,female,30.0,93.5,Q,1.0
3.0,male,22.0,7.8958,S,0.0
3.0,male,35.0,7.225,S,0.0
1.0,female,44.0,57.9792,S,1.0
3.0,male,18.0,7.2292,S,0.0
3.0,male,40.5,7.75,C,0.0
2.0,female,50.0,10.5,C,1.0
1.0,male,49.0,153.4625,C,0.0
3.0,male,39.0,7.925,Q,0.0
2.0,male,23.0,11.5,S,0.0
2.0,female,2.0,26.0,S,1.0
3.0,male,17.0,7.2292,S,0.0
3.0,male,17.0,7.2292,S,0.0
3.0,female,24.0,22.3583,S,1.0
3.0,female,30.0,8.6625,C,0.0
2.0,female,7.0,26.25,C,1.0
1.0,male,45.0,26.55,C,0.0
1.0,female,30.0,106.425,S,1.0
3.0,male,62.0,14.5,S,0.0
1.0,female,22.0,49.5,S,1.0
1.0,female,36.0,71.0,C,1.0
3.0,female,9.0,31.275,S,0.0
3.0,female,11.0,31.275,C,0.0
2.0,male,32.0,26.0,S,1.0
1.0,male,50.0,106.425,S,0.0
1.0,male,62.0,26.0,S,0.0
2.0,female,19.0,26.0,S,1.0
2.0,male,27.0,13.8625,C,1.0
3.0,male,33.0,20.525,S,0.0
2.0,male,8.0,36.75,S,1.0
1.0,male,17.0,110.8833,C,1.0
2.0,male,27.0,26.0,S,0.0
3.0,male,21.0,7.8292,S,0.0
3.0,male,22.0,7.225,C,1.0
3.0,female,22.0,7.775,S,1.0
1.0,male,62.0,26.55,Q,0.0
1.0,female,48.0,39.6,C,1.0
1.0,male,45.0,153.4625,S,0.0
1.0,female,39.0,79.65,S,1.0
3.0,female,36.0,17.4,C,1.0
3.0,male,30.0,7.75,C,0.0
3.0,male,40.0,7.8958,S,0.0
2.0,male,28.0,13.5,S,0.0
3.0,male,40.0,8.05,Q,0.0
3.0,female,62.0,8.05,S,0.0
3.0,male,24.0,24.15,S,0.0
3.0,male,19.0,7.8958,S,0.0
3.0,female,29.0,21.075,S,0.0
3.0,male,28.0,7.2292,S,0.0
3.0,male,32.0,7.8542,S,1.0
2.0,male,62.0,10.5,S,1.0
1.0,female,53.0,51.4792,C,1.0
1.0,male,36.0,26.3875,S,1.0
3.0,female,22.0,7.75,S,1.0
3.0,male,16.0,8.05,S,0.0
3.0,male,19.0,14.5,S,0.0
2.0,female,34.0,13.0,Q,1.0
1.0,female,39.0,55.9,S,1.0
3.0,female,18.0,14.4583,S,0.0
3.0,male,32.0,7.925,S,1.0
2.0,female,25.0,30.0,S,1.0
1.0,female,39.0,110.8833,C,1.0
2.0,male,54.0,26.0,S,0.0
1.0,male,36.0,40.125,S,0.0
3.0,male,16.0,8.7125,C,0.0
1.0,female,18.0,79.65,S,1.0
2.0,male,47.0,15.0,C,0.0
1.0,male,60.0,79.2,C,1.0
3.0,male,22.0,8.05,S,0.0
3.0,male,22.0,8.05,S,0.0
3.0,male,35.0,7.125,C,0.0
1.0,female,52.0,78.2667,S,1.0
3.0,male,47.0,7.25,S,0.0
3.0,female,40.0,7.75,S,0.0
2.0,male,37.0,26.0,C,0.0
3.0,male,36.0,24.15,S,0.0
2.0,female,31.0,33.0,Q,1.0
3.0,male,49.0,6.75,S,0.0
3.0,male,18.0,7.225,S,0.0
1.0,male,49.0,56.9292,S,1.0
2.0,female,24.0,27.0,S,1.0
3.0,male,42.0,7.8958,C,0.0
1.0,male,37.0,42.4,C,0.0
3.0,male,44.0,8.05,S,0.0
1.0,male,35.0,26.55,S,1.0
3.0,male,36.0,15.55,S,0.0
3.0,male,30.0,7.8958,S,0.0
1.0,male,27.0,30.5,C,1.0
2.0,female,22.0,41.5792,S,1.0
1.0,female,40.0,153.4625,S,1.0
3.0,female,39.0,31.275,S,0.0
3.0,male,21.0,7.05,C,0.0
3.0,female,18.0,15.5,S,1.0
3.0,male,22.0,7.75,S,0.0
3.0,male,35.0,8.05,S,0.0
2.0,female,24.0,65.0,Q,1.0
3.0,male,34.0,14.4,Q,0.0
3.0,female,26.0,16.1,S,0.0
2.0,female,4.0,39.0,S,1.0
2.0,male,26.0,10.5,S,0.0
3.0,male,27.0,14.4542,S,0.0
1.0,male,42.0,52.5542,S,1.0
3.0,male,20.0,15.7417,S,1.0
3.0,male,21.0,7.8542,C,0.0
3.0,male,21.0,16.1,S,0.0
1.0,male,61.0,32.3208,C,0.0
2.0,male,57.0,12.35,S,0.0
1.0,female,21.0,77.9583,S,1.0
3.0,male,26.0,7.8958,S,0.0
3.0,male,18.0,7.7333,Q,0.0
1.0,male,62.0,30.0,S,1.0
3.0,male,51.0,7.0542,S,0.0
1.0,male,32.0,30.5,Q,1.0
1.0,male,30.0,6.75,S,0.0
3.0,female,9.0,27.9,S,0.0
2.0,female,28.0,13.0,C,1.0
3.0,male,32.0,7.925,S,0.0
2.0,male,31.0,26.25,S,0.0
3.0,female,41.0,39.6875,S,0.0
3.0,male,37.0,16.1,S,0.0
3.0,male,20.0,7.8542,S,0.0
1.0,female,24.0,69.3,S,1.0
3.0,female,2.0,27.9,S,0.0
3.0,male,32.0,56.4958,S,1.0
3.0,female,2.0,19.2583,C,1.0
1.0,male,48.0,76.7292,S,1.0
3.0,male,19.0,7.8958,S,0.0
1.0,male,56.0,35.5,C,1.0
3.0,male,21.0,7.55,C,0.0
3.0,female,23.0,7.55,S,1.0
3.0,male,23.0,7.8958,C,0.0
2.0,female,18.0,23.0,S,1.0
3.0,male,21.0,8.4333,S,0.0
3.0,female,16.0,7.8292,S,1.0
3.0,female,18.0,6.75,S,0.0
2.0,male,24.0,73.5,S,0.0
3.0,male,27.0,7.8958,Q,0.0
3.0,female,32.0,15.5,Q,0.0
2.0,male,23.0,13.0,S,0.0
1.0,male,58.0,113.275,S,0.0
1.0,male,50.0,133.65,Q,1.0
3.0,male,40.0,7.225,S,0.0
1.0,male,47.0,25.5875,C,0.0
3.0,male,36.0,7.4958,S,0.0
3.0,male,20.0,7.925,C,1.0
2.0,male,32.0,73.5,S,0.0
2.0,male,25.0,13.0,S,0.0
3.0,male,49.0,7.775,S,0.0
3.0,male,43.0,8.05,S,0.0
1.0,female,48.0,52.0,S,1.0
2.0,female,40.0,39.0,S,1.0
1.0,male,31.0,52.0,S,0.0
2.0,male,62.0,10.5,S,0.0
2.0,male,31.0,13.0,S,1.0
2.0,male,19.0,6.75,S,0.0
3.0,male,18.0,7.775,S,0.0
3.0,male,24.5,8.05,S,0.0
3.0,female,18.0,9.8417,S,1.0
3.0,female,43.0,46.9,S,0.0
1.0,male,36.0,153.4625,S,1.0
3.0,female,28.0,8.1375,S,0.0
1.0,male,27.0,76.7292,S,1.0
3.0,male,20.0,9.225,C,0.0
3.0,male,14.0,46.9,Q,0.0
2.0,male,60.0,39.0,C,0.0
2.0,male,25.0,41.5792,S,0.0
